STOP DATE,AGENCY NAME,JURISDICTION,REASON FOR STOP,PERSON TYPE,RACE,ETHNICITY,AGE,GENDER,ENGLISH SPEAKING,ACTION TAKEN,SPECIFIC VIOLATION,VIRGINIA CRIME CODE,PERSON SEARCHED,VEHICLE SEARCHED,ADDITIONAL ARREST,FORCE USED BY OFFICER,RESIDENCY
10/29/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,DRIVER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,CITATION/SUMMONS,46.2-301,LIC6809M1,YES,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
11/29/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,PASSENGER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-280,WPN5221M1,NO,NO,,YES,OUT OF STATE RESIDENT
12/13/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-280,WPN5221M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
12/18/2023,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,0,FEMALE,YES,ARREST,18.2-57.2,ASL1315M1,YES,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
12/19/2023,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,0,MALE,YES,NO ENFORCEMENT ACTION,18.2-51,ASL133443,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
11/12/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,11,FEMALE,YES,ARREST,18.2-57.2,ASL1315M1,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,12,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,12,MALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
5/5/2022,Charlottesville Police Department,103,OTHER INVESTIGATIVE DETENTION,OTHER INDIVIDUAL,AMERICAN INDIAN OR ALASKA NATIVE,NOT HISPANIC OR LATINO,13,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-57.2,ASL1315M1,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
12/10/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,13,MALE,YES,NO ENFORCEMENT ACTION,18.2-57,ASL1313M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/30/2021,Charlottesville Police Department,CHARLOTTESVILLE,OTHER INVESTIGATIVE DETENTION,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,14,MALE,YES,NO ENFORCEMENT ACTION,18.2-96(F),,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
4/24/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,14,MALE,YES,NO ENFORCEMENT ACTION,18.2-415,DIS5311M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,14,MALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
8/26/2022,Charlottesville Police Department,103,TRAFFIC VIOLATION,PASSENGER,WHITE,NOT HISPANIC OR LATINO,14,FEMALE,YES,CITATION/SUMMONS,46.2-910(A),CYC6926I9,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
10/15/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,14,MALE,YES,ARREST,18.2-51,ASL1334F3,YES,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
1/12/2023,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,DRIVER,WHITE,NOT HISPANIC OR LATINO,14,MALE,NO,CITATION/SUMMONS,46.2-853,REC6629M1,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
4/10/2023,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,14,MALE,YES,CITATION/SUMMONS,46.2-300,LIC6808M2,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
4/10/2023,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,14,MALE,YES,CITATION/SUMMONS,46.2-878.2,MOV6475I9,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/6/2023,Charlottesville Police Department,CHARLOTTESVILLE,TERRY STOP,OTHER INDIVIDUAL,WHITE,HISPANIC OR LATINO,14,MALE,NO,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
7/6/2023,Charlottesville Police Department,CHARLOTTESVILLE,TERRY STOP,OTHER INDIVIDUAL,WHITE,HISPANIC OR LATINO,14,MALE,NO,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
12/10/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,UNKNOWN,UNKNOWN,15,FEMALE,,CITATION/SUMMONS,46.2-874,,NO,NO,NO,,
3/6/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,ASIAN OR NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,NOT HISPANIC OR LATINO,15,MALE,,CITATION/SUMMONS,46.2-875,,NO,NO,NO,,
8/24/2021,Charlottesville Police Department,CHARLOTTESVILLE,OTHER INVESTIGATIVE DETENTION,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,WARNING ISSUED,46.2-613,,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
9/20/2021,Charlottesville Police Department,CHARLOTTESVILLE,OTHER INVESTIGATIVE DETENTION,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,ARREST,18.2-95(ii),,YES,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
2/3/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-95,,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
2/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,DRIVER,WHITE,NOT HISPANIC OR LATINO,15,FEMALE,YES,CITATION/SUMMONS,46.2-820,WAY6937I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
2/15/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,15,MALE,YES,ARREST,18.2-96,,YES,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
3/16/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,DRIVER,WHITE,HISPANIC OR LATINO,15,MALE,YES,CITATION/SUMMONS,46.2-853,REC6629M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,FEMALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
7/8/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
8/1/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,FEMALE,YES,,18.2-415,DIS5311M1,NO,NO,,YES,OTHER VIRGINIA JURISDICTION RESIDENT
8/9/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,WHITE,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,18.2-91,BUR2213F9,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
9/25/2022,Charlottesville Police Department,103,TRAFFIC VIOLATION,DRIVER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,CITATION/SUMMONS,46.2-852,REC6625M1,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
10/29/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,18.2-415,DIS5311M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
10/29/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,18.2-415,DIS5311M1,NO,NO,,NO,OTHER VIRGINIA JURISDICTION RESIDENT
12/10/2022,Charlottesville Police Department,103,CALLS FOR SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,18.2-57,ASL1313M1,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
2/5/2023,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,15,MALE,YES,WARNING ISSUED,46.2-1049,EQU6507I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
4/14/2023,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,NOT HISPANIC OR LATINO,15,FEMALE,YES,WARNING ISSUED,46.2-833,SIG6554I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
6/18/2023,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,DRIVER,WHITE,HISPANIC OR LATINO,15,FEMALE,YES,WARNING ISSUED,46.2-830,SIG6552I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
7/6/2023,Charlottesville Police Department,CHARLOTTESVILLE,TERRY STOP,OTHER INDIVIDUAL,WHITE,HISPANIC OR LATINO,15,MALE,NO,NO ENFORCEMENT ACTION,18.2-119,TRS5709M1,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
7/15/2023,Charlottesville Police Department,CHARLOTTESVILLE,WARRANT SERVICE,OTHER INDIVIDUAL,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,NO ENFORCEMENT ACTION,,,NO,NO,,YES,RESIDENT OF CITY/COUNTY OF STOP
7/29/2023,Charlottesville Police Department,CHARLOTTESVILLE,CALLS FOR SERVICE,DRIVER,WHITE,HISPANIC OR LATINO,15,MALE,NO,CITATION/SUMMONS,46.2-300,LIC6808M2,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
12/23/2023,Charlottesville Police Department,CHARLOTTESVILLE,EQUIPMENT VIOLATION,DRIVER,BLACK OR AFRICAN AMERICAN,NOT HISPANIC OR LATINO,15,MALE,YES,WARNING ISSUED,46.2-711(D),REG6724I9,NO,NO,,NO,RESIDENT OF CITY/COUNTY OF STOP
12/24/2020,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,WHITE,HISPANIC OR LATINO,16,MALE,,CITATION/SUMMONS,46.2-833,,NO,NO,NO,,
1/26/2021,Charlottesville Police Department,CHARLOTTESVILLE,EQUIPMENT VIOLATION,,BLACK OR AFRICAN AMERICAN,UNKNOWN,16,MALE,,WARNING ISSUED,46.2-1030,,NO,NO,NO,,
3/13/2021,Charlottesville Police Department,CHARLOTTESVILLE,TRAFFIC VIOLATION,,BLACK OR AFRICAN AMERICAN,UNKNOWN,16,MALE,,CITATION/SUMMONS,46.2-816,,NO,NO,NO,,
