_id,STOP_DATE,AGENCY NAME,LOCATION,JURISDICTION,REASON FOR STOP,PERSON TYPE,RACE,ETHNICITY,AGE,GENDER,ENGLISH SPEAKING,ACTION TAKEN,SPECIFIC VIOLATION,VIRGINIA CRIME CODE,PERSON SEARCHED,VEHICLE SEARCHED,ADDITIONAL ARREST,FORCE USED BY OFFICER,FORCE USED BY SUBJECT,RESIDENCY,VIOLATION TYPE
230363,5/4/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,American Indian or Alaska Native,Non-Hispanic or Latino,27,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230364,5/8/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,22,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230365,4/28/2023 0:00,Charlottesville Police Department,5TH ST SW AT 5TH ST STATION PKWY,Charlottesville (103),Calls for Service,Driver,Black or African American,Non-Hispanic or Latino,21,Male,Y,Citation/Summons,46.2-300,,N,N,,N,N,Resident of city/county of stop,
230366,4/28/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,19,Male,Y,Citation/Summons,46.2-816,,N,N,,N,N,Resident of city/county of stop,
230367,4/26/2023 0:00,Charlottesville Police Department,MEADE AVE AT MARKET ST,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,34,Female,Y,Warning Issued,46.2-833,,N,N,,N,N,Resident of city/county of stop,
230368,4/25/2023 0:00,Charlottesville Police Department,RIDGE ST/W MAIN ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,73,Male,Y,Warning Issued,46.2-804,,N,N,,N,N,Other Virginia jurisdiction resident,
230369,4/25/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,American Indian or Alaska Native,Non-Hispanic or Latino,64,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Other Virginia jurisdiction resident,
230370,4/25/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,59,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Other Virginia jurisdiction resident,
230371,4/25/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,76,Female,Y,Warning Issued,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230372,4/25/2023 0:00,Charlottesville Police Department,900 ELLIOTT AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,24,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Out of State resident,
230373,4/25/2023 0:00,Charlottesville Police Department,2000 GREENBRIER DR,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,22,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Out of State resident,
230374,4/25/2023 0:00,Charlottesville Police Department,1400 GROVE RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,61,Male,Y,Citation/Summons,46.2-830,,N,N,,N,N,Resident of city/county of stop,
230375,4/25/2023 0:00,Charlottesville Police Department,900 ELLIOTT AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,34,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230376,4/24/2023 0:00,Charlottesville Police Department,5TH ST SW AT 5TH ST STATION PKWY,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,29,Male,Y,Warning Issued,46.2-804,,N,N,,N,N,Resident of city/county of stop,
230377,4/24/2023 0:00,Charlottesville Police Department,200 CARLTON RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,27,Female,Y,Warning Issued,46.2-715,,N,N,,N,N,Other Virginia jurisdiction resident,
230378,4/23/2023 0:00,Charlottesville Police Department,375 RIDGE MCINTIRE RD,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,77,Male,Y,Warning Issued,46.2-715,,N,N,,N,N,Resident of city/county of stop,
230379,4/24/2023 0:00,Charlottesville Police Department,BYPASS EB AT PARK EXIT,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,25,Male,Y,Citation/Summons,46.2-1054,,N,N,,N,N,Other Virginia jurisdiction resident,
230380,4/24/2023 0:00,Charlottesville Police Department,2156 BARRACKS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,35,Female,Y,Citation/Summons,46.2-302,,N,N,,N,N,Resident of city/county of stop,
230381,4/25/2023 0:00,Charlottesville Police Department,8TH ST NW AT PAGE ST,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,52,Male,Y,Warning Issued,46.2-830,,N,N,,N,N,Resident of city/county of stop,
230382,4/24/2023 0:00,Charlottesville Police Department,2011 HOLIDAY DR,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,26,Male,Y,Citation/Summons,46.2-646,,N,N,,N,N,Other Virginia jurisdiction resident,
230383,4/11/2023 0:00,Charlottesville Police Department,MERKET ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,29,Male,Y,Citation/Summons,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230384,4/24/2023 0:00,Charlottesville Police Department,WERTLAND AT 10TH NW,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,23,Male,Y,Citation/Summons,46.2-804,,N,N,,N,N,Resident of city/county of stop,
230385,4/24/2023 0:00,Charlottesville Police Department,E HIGH ST AT LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,31,Female,Y,Citation/Summons,46.2-1158,,N,N,,N,N,Other Virginia jurisdiction resident,
230386,4/24/2023 0:00,Charlottesville Police Department,1136 EMMET,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,22,Female,Y,Warning Issued,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230387,4/24/2023 0:00,Charlottesville Police Department,RICKY AT BARRACKS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,34,Male,Y,Warning Issued,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230388,4/24/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,Asian or Native Hawaiian or Other Pacific Islander,Non-Hispanic or Latino,23,Female,Y,Warning Issued,46.2-874,,N,N,,N,N,Out of State resident,
230389,4/24/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,23,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230390,4/24/2023 0:00,Charlottesville Police Department,AVON AT GARRETT,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,74,Male,Y,Warning Issued,46.2-833,,N,N,,N,N,Resident of city/county of stop,
230391,4/23/2023 0:00,Charlottesville Police Department,JPA AT MONROE LN,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,23,Male,Y,Warning Issued,46.2-833,,N,N,,N,N,Resident of city/county of stop,
230392,4/24/2023 0:00,Charlottesville Police Department,FAIRWAY AT E MARKET,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,34,Male,N,Warning Issued,46.2-830,,N,N,,N,N,Other Virginia jurisdiction resident,
230393,4/23/2023 0:00,Charlottesville Police Department,1400 UNIVERSITY,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,30,Male,N,Citation/Summons,46.2-829,,N,N,,N,N,Resident of city/county of stop,
230394,4/23/2023 0:00,Charlottesville Police Department,BARRACKS RD EXIT AREA,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,22,Female,Y,Citation/Summons,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230395,4/23/2023 0:00,Charlottesville Police Department,1161 ROSE HILL DR,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,20,Male,Y,Citation/Summons,46.2-711(D),,N,N,,N,N,Resident of city/county of stop,
230396,4/22/2023 0:00,Charlottesville Police Department,1309 6TH ST SE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,25,Male,Y,Warning Issued,46.2-613(A)(1),,N,N,,N,N,Resident of city/county of stop,
230397,4/11/2023 0:00,Charlottesville Police Department,EMMET ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,33,Female,Y,Warning Issued,46.2-804,,N,N,,N,N,Resident of city/county of stop,
230398,4/26/2023 0:00,Charlottesville Police Department,W MARKET ST AT RDGE MAC,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,42,Male,Y,Warning Issued,46.2-1013,,N,N,,N,N,Resident of city/county of stop,
230399,4/26/2023 0:00,Charlottesville Police Department,PRESTON AVE AT MADISON AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,28,Male,Y,Warning Issued,46.2-804,,N,N,,N,N,Resident of city/county of stop,
230400,4/26/2023 0:00,Charlottesville Police Department,600 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,57,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230401,4/28/2023 0:00,Charlottesville Police Department,EMMETT AT 250 BYPASS,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,28,Female,Y,Citation/Summons,46.2-816,,N,N,,N,N,Resident of city/county of stop,
230402,4/27/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,51,Male,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230403,4/27/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,39,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230404,4/27/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,24,Male,N,Citation/Summons,46.2-300,,N,N,,N,N,Other Virginia jurisdiction resident,
230405,4/27/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,44,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230406,4/27/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,69,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230407,4/27/2023 0:00,Charlottesville Police Department,1000 E MARKET ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,40,Male,Y,Citation/Summons,46.2-818.2A,,N,N,,N,N,Other Virginia jurisdiction resident,
230408,4/27/2023 0:00,Charlottesville Police Department,300 10TH ST NW,Charlottesville (103),Equipment Violation,Driver,White,Non-Hispanic or Latino,26,Female,Y,Citation/Summons,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230409,4/27/2023 0:00,Charlottesville Police Department,900 MONTICELLO AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,21,Female,Y,Warning Issued,46.2-871,,N,N,,N,N,Other Virginia jurisdiction resident,
230410,4/27/2023 0:00,Charlottesville Police Department,800 MONTICELLO AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,33,Male,Y,Citation/Summons,46.2-818.2A,,N,N,,N,N,Other Virginia jurisdiction resident,
230411,4/27/2023 0:00,Charlottesville Police Department,AVON STREET AT ELLIOT AVENUE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,69,Female,Y,Warning Issued,46.2-804,,N,N,,N,N,Other Virginia jurisdiction resident,
230412,4/27/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,17,Female,Y,Warning Issued,46.2-875,,N,N,,N,N,Resident of city/county of stop,
230413,4/27/2023 0:00,Charlottesville Police Department,200 WATER,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,33,Male,Y,Citation/Summons,46.2-833,,N,N,,N,N,Other Virginia jurisdiction resident,
230414,4/27/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,Asian or Native Hawaiian or Other Pacific Islander,Non-Hispanic or Latino,42,Male,Y,Warning Issued,46.2-874,,N,N,,N,N,Other Virginia jurisdiction resident,
230415,4/26/2023 0:00,Charlottesville Police Department,E HIGH/LOCUST AVE,Charlottesville (103),Equipment Violation,Driver,Black or African American,Non-Hispanic or Latino,54,Male,Y,Warning Issued,46.2-613(A)(1),,N,N,,N,N,Resident of city/county of stop,
230416,4/26/2023 0:00,Charlottesville Police Department,1000 E MARKET ST,Charlottesville (103),Equipment Violation,Driver,Black or African American,Non-Hispanic or Latino,59,Female,Y,Warning Issued,46.2-646,,N,N,,N,N,Other Virginia jurisdiction resident,
230417,4/26/2023 0:00,Charlottesville Police Department,RUGBY RD/PRESTON AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,59,Male,Y,Warning Issued,46.2-833,,N,N,,N,N,Resident of city/county of stop,
230418,4/26/2023 0:00,Charlottesville Police Department,2000 BARRACKS RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,55,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Other Virginia jurisdiction resident,
230419,4/26/2023 0:00,Charlottesville Police Department,2000 BARRACKS RD,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,58,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230420,4/26/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,25,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230421,4/26/2023 0:00,Charlottesville Police Department,700 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,26,Male,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230422,4/26/2023 0:00,Charlottesville Police Department,1700 RUGBY RD,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,62,Female,Y,Citation/Summons,46.2-816,,N,N,,N,N,Resident of city/county of stop,
230423,4/26/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,American Indian or Alaska Native,Non-Hispanic or Latino,40,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230424,4/28/2023 0:00,Charlottesville Police Department,200 S EMMET ST,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,46,Male,Y,Citation/Summons,46.2-816,,N,N,,N,N,Other Virginia jurisdiction resident,
230425,4/26/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,70,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230426,4/26/2023 0:00,Charlottesville Police Department,300 4TH ST SE,Charlottesville (103),Calls for Service,Driver,Black or African American,Non-Hispanic or Latino,45,Male,Y,Citation/Summons,46.2-830,,N,N,,N,N,Resident of city/county of stop,
230427,4/26/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,38,Male,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230428,4/26/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,56,Female,Y,Citation/Summons,46.2-300,,N,N,,N,N,Resident of city/county of stop,
230429,4/26/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,41,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230430,4/27/2023 0:00,Charlottesville Police Department,UNIVERSITY AT MCCORMICK,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,29,Male,N,Citation/Summons,46.2-300,,N,N,,N,N,Resident of city/county of stop,
230431,4/26/2023 0:00,Charlottesville Police Department,100 E WATER ST,Charlottesville (103),Equipment Violation,Driver,White,Non-Hispanic or Latino,42,Female,Y,Warning Issued,46.2-646,,N,N,,N,N,Resident of city/county of stop,
230432,4/26/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,68,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Out of State resident,
230433,5/8/2023 0:00,Charlottesville Police Department,400 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,37,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Other Virginia jurisdiction resident,
230434,5/8/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,55,Female,Y,Citation/Summons,46.2-875,,N,N,,N,N,Resident of city/county of stop,
230435,5/8/2023 0:00,Charlottesville Police Department,500 250 BYPASS,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,54,Male,Y,Citation/Summons,46.2-875,,N,N,,N,N,Resident of city/county of stop,
230436,5/18/2023 0:00,Charlottesville Police Department,2ND ST NW AT E MARKET ST,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,25,Female,Y,Warning Issued,46.2-833,,N,N,,N,N,Other Virginia jurisdiction resident,
230437,5/17/2023 0:00,Charlottesville Police Department,1100 5TH ST SW,Charlottesville (103),Calls for Service,Driver,White,Hispanic or Latino,26,Female,N,Citation/Summons,46.2-300,,N,N,,N,N,Resident of city/county of stop,
230438,5/17/2023 0:00,Charlottesville Police Department,5TH ST SW AT ELLIOTT AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,31,Female,Y,Warning Issued,46.2-833,,N,N,,N,N,Out of State resident,
230439,5/18/2023 0:00,Charlottesville Police Department,PRESTON AVE/MADISON AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,29,Male,Y,Warning Issued,46.2-804,,N,N,,N,N,Out of State resident,
230440,5/12/2023 0:00,Charlottesville Police Department,1000 GRADY AVE,Charlottesville (103),Traffic Violation,Driver,American Indian or Alaska Native,Non-Hispanic or Latino,34,Male,Y,Warning Issued,46.2-711(D),,N,N,,N,N,Other Virginia jurisdiction resident,
230441,5/16/2023 0:00,Charlottesville Police Department,JPA AT PARK DR,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,32,Male,Y,Citation/Summons,46.2-818.2A,,N,N,,N,N,Other Virginia jurisdiction resident,
230442,5/16/2023 0:00,Charlottesville Police Department,JPA AT PARK RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,41,Male,Y,Citation/Summons,46.2-1158,,N,N,,N,N,Other Virginia jurisdiction resident,
230443,5/17/2023 0:00,Charlottesville Police Department,900 MONTICELLO AVE,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,30,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230444,5/17/2023 0:00,Charlottesville Police Department,2000 BARRACKS RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,74,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230445,5/17/2023 0:00,Charlottesville Police Department,1500 RUGBY AVE,Charlottesville (103),Traffic Violation,Driver,Asian or Native Hawaiian or Other Pacific Islander,Non-Hispanic or Latino,38,Female,Y,Citation/Summons,46.2-874,,N,N,,N,N,Out of State resident,
230446,5/17/2023 0:00,Charlottesville Police Department,800 HARRIS ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,30,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230447,5/17/2023 0:00,Charlottesville Police Department,1000 AVON ST,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,28,Female,Y,Warning Issued,46.2-715,,N,N,,N,N,Resident of city/county of stop,
230448,5/17/2023 0:00,Charlottesville Police Department,5555 17TH ST NW,Charlottesville (103),Calls for Service,Driver,White,Non-Hispanic or Latino,22,Female,Y,Warning Issued,16-8,,N,N,,N,N,Out of State resident,
230449,5/16/2023 0:00,Charlottesville Police Department,JEFFERSON PARK AVE AT PARK RD,Charlottesville (103),Traffic Violation,Driver,White,Non-Hispanic or Latino,36,Male,Y,Citation/Summons,46.2-1158,,N,N,,N,N,Other Virginia jurisdiction resident,
230450,5/16/2023 0:00,Charlottesville Police Department,800 CHERRY AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,36,Male,Y,Warning Issued,46.2-711(D),,N,N,,N,N,Resident of city/county of stop,
230451,5/16/2023 0:00,Charlottesville Police Department,JPA AT MONTE VISTA AVE,Charlottesville (103),Traffic Violation,Driver,White,Hispanic or Latino,29,Female,Y,Citation/Summons,46.2-300,,N,N,,N,N,Other Virginia jurisdiction resident,
230452,5/16/2023 0:00,Charlottesville Police Department,700 LOCUST AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,57,Male,Y,Citation/Summons,46.2-874,,N,N,,N,N,Resident of city/county of stop,
230453,5/16/2023 0:00,Charlottesville Police Department,PRESTON AVE AT GRADY AVE,Charlottesville (103),Traffic Violation,Driver,Black or African American,Non-Hispanic or Latino,38,Male,Y,Citation/Summons,46.2-833,,N,N,,N,N,Resident of city/county of stop,
